%,persen
idzin,izin
ig,instagram
igtlah,ingatlah
ihh,ih
ihhh,ih
ihhhh,ih
ihhhhh,ih
ihlas,ikhlas
iih,ih
iihh,ih
iiih,ih
iiihh,ih
iiihhhh,ih
iiihhhhh,ih
iiii,ih
iiiihhhhhj,ih
iiiiiiiii,ih
iiiiiiiiii,ih
ijap,ijab
ijasah,ijazah
ijin,izin
ijinkan,izinkan
ijinnya,izinnya
ikh,ih
ikhwal,ihwal
iki,ini
iki,ini
iklas,ikhlas
ikon,lambang
iktisar,ikhtisar
ikut2,ikut ikut
ikut2an,ikut ikutan
ikutin,ikuti
ilang,hilang
"ilang""",hilang hilang
ilang2,hilang hilang
ilang2an,hilang hilangan
ilangin,hilangkan
ilang-in,hilangkan
ilfeel,tidak suka
ilfil,tidak suka
ilmh,ilmu
ilmuan,ilmuwan
ilnu,ilmu
im,saya
imaginasi,imajinasi
imagine,bayangkan
imba,jago sekali
imho,in my humble opinion
imoet,imut
imoetz,imut
import,impor
imut2,imut imut
imutt,imut
imutttttt,imut
imuttzz,imut
imuutt,imut
imuuttt,imut
in,ini
ina,indonesia
ind,indonesia
indahhh,indah
indefendet,independen
indinesia,indonesia
indo,indonesia
indon,indonesia
indoneaia,indonesia
indonesiaaa,indonesia
indonesiaah,indonesia
indra,indera
info,informasi
infpyunnnn,ampun
infra,infrastruktur
infrast,infrastrutur
infrastrktr,infrastruktur
infrastructure,infrastruktur
ingeet,ingat
inget,ingat
ingetin,ingatkan
inggat,ingat
ingggaaat,ingat
inggrisny,inggrisnya
inghinn,ingin
ingi,ingin
inginkn,inginkan
ingt,ingat
inia,ini
iniehh,ini
inih,ini
inihhh,ini
inii,ini
iniii,ini
iniiiii,ini
iniiiiiiiiiiiiiii,ini
iniw,ini
inni,ini
inpo,info
insaallah,insyaa allah
insallah,insyaa allah
insap,insaf
inshaallah,insya allah
insom,insomnia
insonniaaa,insomnia
insta,instragam
institute,institut
insyaallah,insyaa allah
insyaalloh,insya allah
insyaf,insaf
insyallah,insyaa allah
intelejen,intelijen
interograsi,interogasi
interospeksi,introspeksi
interprestasi,interpretasi
intinx,intinya
intrupsi,interupsi
invest,investasi
invite,undang
iooo,lo
iow,dengan kata lain
ipon,iphone
iriiiii,iri
irit,hemat
is,adalah
iseng2,iseng iseng
isengin,bercanda
iso,bisa
israhell,israel
issu,isu
issue,isu
issuenya,isunya
ista,nista
istaa,nista
isteri,istri
istimew,istimewa
istimewaaa,istimewa
istimewah,istimewa
istiqamah,istikamah
istiqomah,istikamah
istiqomahhh,istikamah
istrahat,istirahat
it,itu
item,hitam
ithu,itu
itikat,itikad
ito,itu
ituh,itu
itumahh,itumah
itung,hitung
itungan,hitungan
itungannya,hitungannya
ituu,itu
ituuu,itu
ituuuu,itu
ityl,itil
iu,itu
iy,iya
iyaa,iya
iyaaa,iya
iyaaaa,iya
iyaap,iya
iyaappps,iya
iyah,iya
iyak,iya
iyala,iya lah
iyap,iya
iye,iya
iyeeesss,ya
iyes,iya
iyh,iya
iyha,iya
iyo,iya
iyuh,ih
iyuuhhh,ih
iyuuuhhhh,ih
iyyaa,iya
j,saja
ja,aja
jaaangan,jangan
jaadii,jadi
jablay,jarang dibelai
jadii,jadi
jadiin,jadi
jadilh,jadilah
jadu,jadi
jadual,jadwal
jadul,jaman dulu
jadulnya,jaman dulunya
jagain,jaga
jahatin,menjahati
jaim,jaga image
jakety,jaketnya
"jalan""nya",jalan jalannya
jalan2,jalan jalan
jalanani,menjalani
jalanin,jalankan
jalim,zalim
jamam,jaman
jaman,zaman
jaman2,jaman jaman
jaman2nya,jaman jamannya
jamannya,zamannya
jamrud,zamrud
jan,jangan
jancuk,anjing
janga,jangan
"jangan""",jangan jangan
jangan2,jangan jangan
jangann,jangan
janjinyaa,janji
janjiy,janjinya
janjutin,lanjutkan
janka,jangka
jaoooh,jauh
jari2,jari jari
jatoh,jatuh
jatohin,jatuhkan
jatuhin,jatuhkan
jatuhnyaa,jatuhnya
jau,jauh
jauh2,jauh jauh
jauhh,jauh
jauhhh,jauh
jauhin,jauhi
jauuhhh,jauh
jauuuh,jauh
jawabanny,jawabannya
jayaaaa,jaya
jayus,tidak lucu
jbatan,jabatan
jbtan,jabatan
jbtanny,jabatannya
jbtn,jabatan
jd,jadi
jdi,jadi
jdii,jadi
jdikan,jadikan
jdkan,jadikan
jdlah,jadilah
jdnya,jadinya
jdulnya,judulnya
jdwl,jadwal
jd'y,jadinya
je,saja
jealous,cemburu
jeblosin,jebloskan
jebol,bocor
jelaakan,jelaskan
"jelas""",jelas jelas
jelas2,jelas jelas
jelase,jelas
jelashh,jelas
jelasin,jelaskan
jelasinnya,menjelaskannya
jelasssss,jelas
"jelek""in",menjelek jelekkan
jelek2,jelek jelek
jelekin,jelekkan
jelekkkin,jelekkan
jelex,jelek
jels,jelas
jem,jam
jemaah,jamaah
jembot,jembut
jenasah,jenazah
jend,jenderal
jendes,janda
jendess,janda
jendesss,janda
jendral,jenderal
jenius,genius
jeniuss,jenius
jentelmen,berani
jepun,jepang
jerembab,jerembap
jerewi,jerawat
jerigen,jeriken
jermihkan,jernihkan
jesus,yesus
jg,juga
jga,juga
jgan,jangan
jgk,juga
jgn,jangan
jgn2,jangan jangan
jgnkan,jangankan
jh,saja
jidad,jidat
jihat,jihad
jijay,jijik
jilatin,menjilat
jilbabny,jilbabnya
jilbabnyaah,jilbabnya
jilbabnye,jilbabnya
jilbb,jilbab
jing,anjing
jingan,bajingan
jink,anjing
jir,anjing
jirigen,jeriken
jirr,anjir
jirrrr,anjir
jjran,jajaran
jjur,jujur
jk,jika
jka,jika
jkowi,jokowi
jkrta,jakarta
jkt,jakarta
jkw,jokowi
jkwi,jokowi
jl,jalan
jlan,jalan
jlang,jelang
jlas,jelas
jlbb,jilbab
jlek,jelek
jlekin,jelekan
jln,jalan
jln2,jalan jalan
jlnny,jalannya
jlnnya,jalannya
jls,jelas
jls2,jelas jelas
jlslah,jelaslah
jman,zaman
jml,jumlah
jmlh,jumlah
jmlhnya,jumlahnya
jmn,zaman
jmnya,jamnya
jmpaaaa,jumpa
jnagn,jangan
jnda,janda
jng,jangan
jngan,jangan
jngn,jangan
jngnn,jangan
jnj,janji
job,kerja
jobnya,pekerjaanya
jodohny,jodohnya
jodohx,jodohnya
jogetin,berjoget
jokiwi,jokowi
jokwi,jokowi
jomblo,tidak punya pacar
jombsss,jomblo
jongos,pelayan
jongosnya,pelayannya
jongosnye,pelayannya
jorjoran,besar besaran
jorokkkk,jorok
jorookknya,joroknya
jos,mantap
jowowi,jokowi
joz,mantap
jrang,jarang
jrg,jarang
jrnk,jarang
jstru,justru
jt,juta
jtan,jutaan
jth,jatuh
jua,juga
jubir,juru bicara
judia,judi
judibola,judi bola
judicasino,judi casino
judih,judi
judihh,judihh
judii,judi
judiii,judi
judiiii,judi
judiiiii,judi
judiiiiii,judi
judik,judi
judinisiasi,menjudikan
judiny,judi
judinye,judi
judionlen,judi online
judionline,judi online
judislot,judi slot
judol,judi online
judulnyaa,judulnya
judulnyaaaa,judulnya
jugaa,juga
jugaaa,juga
jugaakk,juga
jugak,juga
jujudi,judi
jumaat,jumat
jum'at,jumat
jumawa,angkuh
jungjungan,junjungan
jungkiir,jungkir
junjunganny,junjungannya
junjungi,dukung
jurdil,jujur adil
justeru,justru
jutek,galak
jw,jokowi
jwab,jawab
jwb,jawab
jwban,jawaban
jwbnnya,jawabannya
jwbnya,jawabnya
k,kak
k',kak
k0nt0l,kontol
k0nthol,kontol
k0ntol,kontol
ka,kak
kaa,kak
kaaa,kak
kaaaa,kak
kaaaaa,kak
kaaaaaaaaaakkkkkkkkkkk,kak
kaaaaaann,kan
kaaakk,kak
kaaan,kan
kaak,kak
kaakaaaa,kakak
kaakk,kak
kaan,kan
kaannnn,kan
kaasian,kasihan
kab,kabupaten
kabag,kepala bagian
kabeh,semua
kabinetnx,kabinetnya
kabinetny,kabinetnya
kabopaten,kabupaten
kabor,kabur
kaburr,kabur
kaca mata,kacamata
kacauuuu,kacau
kacaw,kacau
kaciaaaan,kasihan
kacian,kasihan
kaciiaann,kasihan
kack,kak
kacrut,kacau
kadaluwarsa,kedaluwarsa
kadit,kepala direktorat
kadiv,kepala divisi
kaedah,kaidah
kafeh,kafe
kafeteria,kafetaria
kaga,tidak
kagak,tidak
kagalah,tentu tidak
kageeet,kaget
kageet,kaget
kah,kasih
kaitannha,kaitannya
kaj,kak
kaka,kakak
kakakaaaaaaaaaaaaaa,kakak
kakakgh,kakak
kakakk,kakak
kakakkk,kakak
kakakny,kakaknya
kakakuuu,kakakku
kakanga,kakaknya
kakanya,kakaknya
kakau,kalau
kakk,kak
kakkk,kak
kakkkk,kak
kakkkkk,kak
kalahh,kalah
kalahka,kalah
kalahnye,kalahnya
kalau pun,kalaupun
kale,kali
kaleee,kali
kalendar,kalender
kaleum,santai
kaliaan,kalian
kaliann,kalian
kaliannn,kalian
kaliannnnnm,kalian
kaliannnnnn,kalian
kaliannnnnnn,kalian
kalii,kali
kaliii,kali
kaliiii,kali
kaliiiiiii,kali
kaliiin,kalian
kalik,kali
kalli,kali
kallo,kalo
kalo,kalau
kalogak,kalo enggak
kalok,kalo
kaloo,kalo
kalopun,kalau pun
kalow,kalau
kalu,kalau
kalw,kalau
kam,kamu
kamiiii,kami
kamo,kamu
kampret,sialan
kampungn,kampungan
kamseupay,kampungan
kamtib,keamanan dan ketertiban
kamtibmas,keamanan dan ketertiban masyarakat
kamu2,kamu kamu
kamuh,kamu
kamunyaa,kamunya
kamuu,kamu
kamuuuu,kamu
kamuwh,kamu
kamyu,kamu
kamyuhhh,kamu
kana,kanan
kanapa,kenapa
kancang,kencang
kandang,kadang
kangeeeeeeeeeeennnnn,kangen
kangeeeeeeeeennnnnnnn,kangen
kangeeeeeeeenya,kangen
kangeeeeennn,kangen
kangeeeennn,kangen
kangeeeennnnn,kangen
kangeeerrn,kangen
kangeen,kangen
kangeenn,kangen
kangem,kangen
kangen,merindukan
kangenn,kangen
kangennn,kangen
kangennnn,kangen
kangennnnn,kangen
kangennnnnmnnnnnnnnnnnnnnnnn,kangen
kangennnnnn,kangen
kangennnnnnn,kangen
kangennnnnnnnnnnnnnnn,kangen
kanggen,kangen
kanggggg,kang
kangkangi,langkahi
kangker,kanker
kann,kan
kannn,kan
kantung,kantong
kanwil,kantor wilayah
kao,kau
kaos,kaus
kapaan,kapan
kapada,kepada
kapan2,kapan kapan
kapl,kapal
kapn,kapan
kapok,menyerah
kapokk,kapok
kapt,kapten
karatker,karakter
kareno,karena
karir,karier
karir.a,karirnya
karmaaa,karma
karn,karena
karna,karena
kartunin,kartun
"karya""",karya karya
karya2,karya karya
kasar2,kasar kasar
kasat,kepala satuan
kasat mata,kasatmata
kasi,kasih
kasiaannn,kasihan
kasian,kasihan
kasiann,kasihan
kasiannn,kasihan
kasiatnya,khasiatnya
kasihn,kasihan
kasiian,kasihan
kasinos,casino
kasir,kasier
kasubbag,kepala subbagian
kasubbid,kepala subbidang
kat,di
"kata""",kata kata
kata2,kata kata
kata2nya,kata katanya
kata2nyaaa,kata katanya
katagori,kategori
katain,katakan
katakn,katakan
katanyaa,katanya
katarungkat,kata rungkad
kate,kata
katholik,katolik
katrok,kampungan
katulistiwa,khatulistiwa
kau,kamu
kauuuu,kau
kaw,kamu
kawatir,khawatir
kawinin,mengawini
kaya,kayak
kayaa,kaya
kaya'a,kayanya
kayagitu,kayak gitu
kayahhh,kaya
kayak,seperti
kayakk,kayak
kayakmain,kayak main
kayakny,sepertinya
kayaknya,sepertinya
kayane,kayaknya
kayanya,kayaknya
kayanye,kayanya
kayaq,kayak
kayaraya,kaya raya
kayax,kayak
kayek,seperti
kbahagiaan,kebahagiaan
kbanyakan,kebanyakan
kbar,kabar
kbawa,terbawa
kbencian,kebencian
kberkahn,keberkahan
kbetulan,kebetulan
kbiasaan,kebiasaan
kbijakan,kebijakan
kbijakn,kebijakan
kbjikan,kebijakan
kbnykan,kebanyakan
kbnykn,kebanyakan
kbr,kabar
kbrhsilannya,keberhasilannya
kbrukannya,keburukannya
kbtln,kebetulan
kbykn,kebanyakan
kca,kaca
kcantikan,kecantikan
kcau,kacau
kcewa,kecewa
kcian,kasihan
kcil,kecil
kcl,kecil
kcuali,kecuali
kcwa,kecewa
kdang,kadang
kdg,kadang
kdg2,kadang kadang
kdng,kadang
kdu,harus
kdua,kedua
ke pada,kepada
keabisan,kehabisan
keak,kayak
keamana,keamanan
keatas,ke atas
kebagi,terbagi
"kebaikan""y",kebaikannya
kebaikn,kebaikan
kebakaean,kebaikkan
kebalas,terbalas
kebangetak,kebangetan
kebangetan,keterlaluan
kebanggan,kebanggaan
kebangkrutaan,kebangkrutan
kebarat2an,kebarat baratan
kebawa,terbawa
kebawah,ke bawah
kebayang,terbayang
kebayanyaa,kebayanya
kebelakang,ke belakang
keberhsilan,keberhasilan
keberpa,keberapa
kebijakn,kebijakan
kebijaksanaanany,kebijaksanaanya
kebijkkan,kebijakkan
kebnyak'an,kebanyakan
kebongkar,terbongkar
kebtulan,kebetulan
kebukaaa,terbuka
kebukti,terbukti
keburu,terlanjur
kebykan,kebanyakan
kec,kecamatan
kecantikanga,kecantikannya
kece2,kece kece
keceee,kece
kecewakn,kecewakan
keche,kece
keciiiiilllll,kecil
keciiiilllll,kecil
keciil,kecil
keciill,kecil
kecik,kecil
"kecil""",kecil kecil
kecptan,kecepatan
kecr,kece
kecyduk,ketangkap
kedalam,ke dalam
kedele,kedelai
kedengeran,kedengaran
kedepan,ke depan
kedlm,kedalam
kedokk,kedok
kedpan,kedepan
keduaa,kedua
kedubes,kedutaan besar
kedungian,kedunguan
kedzaliman,kezaliman
keedaannya,keadaannya
keee,ke
keeeeeren,keren
keeeerrrreeeennnnnnnnn,keren
keep,tetap
kegedean,kebesaran
kehadapan,ke hadapan
kehdupn,kehidupan
keinget,teringat
kejadianny,kejadiannya
kejahatn,kejahatan
kejawab,terjawab
kejdan,kejadian
kejurnas,kejuaraan nasional
kejuu,keju
kek,kayak
kekanan,ke kanan
kekencengan,kekencangan
kekeuh,keras kepala
kekgini,kayak begini
kekiri,ke kiri
kekk,kayak
keknya,kayaknya
keknyaa,kayaknya
kekuranganny,kekurangannya
kel,keluarga
kelaaar,kelar
kelahuran,kelahiran
kelaluan,kelakuan
kelamgkaan,kelangkaan
kelar,selesai
kelas'a,kelasnya
kele,kali
kelean,kalian
keles,kali
keleus,kali
keleusss,kali
kelian,kalian
keliatan,kelihatan
keliatannya,kelihatannya
kellen,kalian
keluain,keluarkan
keluarin,keluarkan
keluarkn,keluarkan
kelus,kali
keluwarga,keluarga
kemajuann,kemajuan
kemakan,termakan
kemana,ke mana
kemaren,kemarin
kemariin,kemarin
kemarn,kemarin
kembaq,kembar
kemebangan,kemenangan
kemenanga,kemenangan
kemenangaann,kemenangan
kemenanganya,kemenangannya
kemenanggannya,kemenangannya
kemengan,kemenangan
kemn,kemana
kemngkinan,kemungkinan
kempes,kempis
kemren,kemarin
kemrin,kemarin
kemuh,kamu
kemunkaran,kemungkaran
kenacetan,kemacetan
kenajuan,kemajuan
kenaliiin,kenalkan
kenalin,kenalkan
kenapaa,kenapa
kenape,kenapa
kenceng,kencang
kencng,kencang
kencqng,kencang
kendati pun,kendatipun
kenderaan,kendaraan
keneh,masih
kenerja,kinerja
kenp,kenapa
kentot,senggama
kenyataan2,kenyataan kenyataan
kepad,kepada
kepaikan,kepanikan
kepake,kepakai
kepd,kepada
kepda,kepada
kepeleset,kepleset
kepelesett,terpeleset
kepengen,mau
kepercyaan,kepercayaan
kepikir,terpikir
kepikiran,terpikirkan
kepingin,inign
kepo,mau tahu urusan orang
kepoh,kepo
kepoin,kepo
kepppoin,kepoi
kepsek,kepala sekolah
keputihn,keputihan
keq,kayak
kerab,kerap
kerasin,kerasi
kerass,keras
kerata basa,keratabasa
kere,tidak punya uang
kereeeeen,keren
kereeeeennn,keren
kereeeeennnn,keren
kereeeen,keren
kereeen,keren
kereeennnn,keren
kereen,keren
kereenn,keren
kereennn,keren
"keren""",keren keren
keren2,keren keren
kerenn,keren
kerennn,keren
kerennnn,keren
kerennnnn,keren
kerjaa,kerja
kerjaan,pekerjaan
kerjax,kerjanya
kerje,kerja
kerna,karena
kerreeen,keren
kerrennn,keren
kerrrrennnn,keren
keruan,tentu
kesalahanny,kesalahannya
kesampean,kesampaian
kesamping,ke samping
kesana,ke sana
kesbang,kesatuan bangsa
kesejahtraan,kesejahteraan
kesel,kesal
kesemrawutan,kekacauan
kesian,kasihan
kesinii,kesini
kesiniii,kesini
kesomobongan,kesombongan
kesra,kesejahteraan rakyat
ketaatanny,ketaatannya
ketahuan,ketahuan
ketahuilh,ketahuilah
ketakberpihakan,ketidakberpihakan
ketangkep,ketangkap
ketapel,katapel
ketara,tertara
ketarik,tertarik
ketauan,ketahuan
ketawaa,ketawa
ketawain,mentertawakan
ketawakkkk,ketawa
ketdkjujuran,ketidakjujuran
ketebaaak,ketebak
keteledorannya,kecerobohannya
ketempat,ke tempat
ketemuuu,ketemu
ketidkadilan,ketidakadilan
ketipu,tertipu
ketiwi,ketawa
ketje,keren
ketrbatasan,keterbatasan
ketrima,diterima
ketuker,tertukar
keukeuh,keras kepala
kewmudi,kemudi
kga,tidak
kgak,kagak
kgeeeen,kangen
kgiatan,kegiatan
kgk,tidak
kgn,kangen
kh,kah
kha,kah
khabar,kabar
khadiran,kehadiran
khadirannya,kehadirannya
khan,kan
kharisma,karisma
kharismanya,karismanya
khbisan,kehabisan
khdpn,kehidupan
khidupan,kehidupan
khonthol,kontol
khususny,khususnya
khutbah,khotbah
kian,makin
kibijakanya,kebijakanya
kibul,bohong
kibulin,bodoh
kibus,kaki busuk
kicep,diam
kilatan,kelihatan
kilo gram,kilogram
kilo meter,kilometer
kimak,memek
kimpoi,kawin
kipak,bohong
kira2,kira kira
kirain,mengira
kiriii,kiri
kirimin,mengirimi
kitaa,kita
kitaaa,kita
kitany,kitanya
kite,kita
kitta,kita
kiya,kita
kjaan,kerjaan
kjadian,kejadian
kk,kakak
kka,kakak
kkak,kakak
kki,kaki
kklau,kalau
kkuranganya,kekurangannya
kl,kalau
klahiran,kelahiran
klakuan,kelakuan
klas,kelas
klau,kalau
klauu,kalau
klean,kalian
klem,kalem
klen,kalian
klepek2,klepek klepek
klesuruah,keseluruhan
klg,keluarga
klh,kalah
klhran,kelahiran
kli,kali
klian,kalian
klianz,kalian
kliatan,kelihatan
kliatanya,kelihatannya
klihatan,kelihatan
kliru,keliru
klk,kelak
klkuan,kelakuan
kll,kalo
klmbutan,kelembutan
klmpk,kelompok
klmpok,kelompok
kln,kalian
klo,kalau
klok,kalo
klompok,kelompok
klompokmu,kelompokmu
klon,duplikat
kloop,klop
kloter,kelompok terbang
klow,kalau
klpk,kelompok
klpknya,kelompoknya
klpok,kelompok
klrg,keluarga
klrga,keluarga
klu,kalau
kluar,keluar
kluarga,keluarga
kluarin,keluarkan
kluarkan,keluarkan
klw,kalau
klwrga,keluarga
km,kami
kmana,kemana
kmana2,kemana mana
kmar,kamar
kmaren,kemarin
kmari,kemari
kmariiin,kemarin
kmarin,kemarin
kmatian,kematian
kmauan,kemauan
kmbali,kembali
kmbang,kembang
kmbl,kembali
kmbli,kembali
kmd,kemudian
kmdian,kemudian
kmewahan,kemewahan
kmi,kami
kmn,kemana
kmna,kemana
kmntrin,komentarin
kmps,kampus
kmpung,kampung
kmpus,kampus
kmren,kemarin
kmrin,kemarin
kmrm,kemeramen
kmrn,kemarin
kmu,kamu
kmudian,kemudia
kn,kan
knal,kenal
knan,kanan
knapa,kenapa
kndor,kendor
kndung,kandung
kngen,kangen
kngenn,kangen
kngn,kangen
knl,kenal
knlan,kenalan
knp,kenapa
knpa,kenapa
knpp,kenapa
knsul,konsultasi
kntl,kontol
knyataan,kenyataan
ko,kok
koalisix,koalisinya
koar,teriak
kobul,kabul
kocaaaak,kocak
kocaaaakkk,kocak
kocakkk,kocak
kocakkkkkk,kocak
kocakkkkkkkkkkkkkk,kocak
koclak,kocak
kodya,kota madya
koe,kamu
kog,kok
kokkk,kok
kokoh,kukuh
kokohh,engkoh
kokohwi,jokowi
kolap,jatuh
kolomnis,kolumnis
komdis,komisi disiplin
komen,berkomentar
komen2,komen komen
komen2an,komen komenan
komenan,komentar
komenannya,komentarnya
koment,komentar
komentar2,komentar komentar
komentarin,komentari
komentnya,komentarnya
komenx,komennya
komersiil,komersial
komersil,komersial
komit,komitmen
komntr,komentar
kompi,komputer
komplain,keluhan
komplen,keluhan
komplit,komplet
komsov,komunis sovyet
komtiong,komunis tiongkok
komuk,muka
komulatif,kumulatif
komun,komunitas
komunitas2,komunitas komunitas
komuniti,komunitas
konci,kunci
konco,teman
konfeksi,konveksi
konggres,kongres
kongkalikong,bekerja sama
kongkow,kumpul bareng teman teman
kongkret,konkret
kongkrit,konkret
konjen,konsulat jenderal
konkrit,konkret
konperensi,konferensi
konsekwensi,konsekuensi
konsen,konsentrasi
konsul,konsultasi
kont0l,kontol
kontak2,kontak kontak
konten2,konten konten
kontgol,kontol
konth0l,kontol
konthol,kontol
kontoi,kontol
kontoinya,kontolnya
kontra revolusi,kontrarevolusi
konven,konvensional
koordinir,koordinasi
kopdar,kopi darat
koplak,idot
koplakkk,koplak
kopolri,kapolri
koq,kok
korden,gorden
korek2,korek korek
korma,kurma
koropsinya,korupsinya
korup,korupsi
korupsiiii,korupsi
kosa kata,kosakata
kostom,kostum
kotbah,khotbah
kowar,teriak
kowe,kamu
kowe,kamu
kox,kok
kpada,kepada
kpan,kapan
kpancing,terpancing
kpanye,kampanye
kpatutan,kepatutan
kpd,kepada
kpda,kepada
kpdny,kepadanya
kpdnya,kepadanya
kpemimpinan,kepemimpinan
kpk,komisi pemberantasan korupsi
kpl,kepala
kpla,kepala
kpleset,kepleset
kpn,kapan
kpn2,kapan kapan
kpnpun,kapanpun
kpntigan,kepentingan
kptsan,keputusan
kptusan,keputusan
kpuasan,kepuasan
kq,kok
kqmu,kamu
kr,kira
kra,kira
krang,kurang
kraya,karya
kreatifitas,kreativitas
kreatip,kreatif
kreativ,kreatif
kreative,kreatif
kreean,keren
kreeenn,keren
kreen,keren
kren,keren
krena,karena
krenn,keren
krenz,keren
kreta,kereta
krg,kurang
kri,kiri
kridit,kredit
krik,garing
krim,kirim
kripik,keripik
kriput,keriput
krismon,krisis moneter
kritisx,kritisnya
krj,kerja
krja,kerja
krjaan,pekerjaan
krjaanx,kerjaannya
krjkn,kerjakan
krjnya,kerjanya
krm,kirim
krmh,ke rumah
krn,karena
krna,karena
krng,kurang
krpoooo,kepo
krudung,kerudung
krudungan,kerudungan
krupuk,kerupuk
krus,kurus
krya,karya
ksalahan,kesalahan
ksatria,kesatria
ksenangan,kesenangan
ksh,kasih
ksian,kasihan
ksih,kasih
ksimpulannya,kesimpulannya
ksini,kesini
ksitu,kesitu
ksl,kesal
kslahan,kesalahan
kslhn,kesalahan
ksmptn,kesempatan
ksni,kesini
kss,kasus
ksukaanmuuu,kesukaanmu
ksyngn,kesayangan
kt,kata
kt2,kata kata
kta,kata
ktaa,kita
ktaatan,ketaatan
ktahuan,ketahuan
ktanya,katanya
ktauan,ketahuan
ktawa,ketawa
ktegasan,ketegasan
ktemu,ketemu
ktergantungan,ketergantungan
ktg,kita
ktika,ketika
ktimbang,ketimbang
ktimpangan,ketimpangan
ktipu,tipu
ktk,ketika
ktka,ketika
ktm,ketemu
ktmu,ketemu
ktngkap,ketangkap
ktny,katanya
ktnya,katanya
ktr,kantor
ktwa,ketawa
kuaaatt,kuat
kuasaaaaa,kuasa
kuatir,khawatir
kuatttt,kuat
kubarikan,kuberikan
kucing'y,kucingnya
kudu,harus
kuenceng,kencang
kueren2,keren keren
kui,itu
kuiz,kuis
kuliyh,kuliah
kultwit,kultweet
kumkeb,kumpul kebo
kumplan,kumpulan
kumpulin,kumpulkan
kuneng,kuning
kunerja,kinerja
kuninggg,kuning
kuningggg,kuning
kunjungin,kunjungi
kuper,kurang pergaulan
kuq,kok
kura2,kura kura
kurangin,kurangi
kureeeen,keren
kurng,kurang
kusem,kusam
kusruh,kisruh
kususnya,khususnya
kusyuk,khusyuk
kutengok,aku lihat
kutuu,kutu
kuu,ku
kuwat,kuat
kuy,yuk
kuyy,yuk
kuyyy,yuk
kw,imitasi
kwadran,kuadran
kwadrat,kuadrat
kwalifikasi,kualifikasi
kwalitas,kualitas
kwalitatif,kualitatif
kwalitet,kualitas
kwantitas,kuantitas
kwantitatif,kuantitatif
kwantum,kuantum
kwartal,kuartal
kwatir,kawatir
kweereenn,keren
kwintal,kuintal
kwitansi,kuitansi
kwj,kewajiban
kwn,kawan
kwontol,kontol
kwota,kuota
kx,kak
ky,kaya
kya,kaya
kyak,kayak
kyaknya,kayaknya
kyanya,kayanya
kyax,kayak
kyk,kayak
kyk.a,kayaknya
kykna,sepertinya
kykny,kayanya
kyknya,kayaknya
kyy,kaya
kzl,kesal
la,lah
laa,lah
laaaah,lah
labih,lebih
ladenin,lawan
laen,lain
laenny,lainnya
laennya,lainnya
lafazd,lafaz
lagihh,lagi
lagii,lagi
lagiii,lagi
lagiiii,lagi
lagiiiii,lagi
laginy,laginya
lagu2,lagu lagu
lagu2nya,lagu lagunya
lagu'y,lagunya
lahh,lah
lahhh,lah
lahhhhhh,lah
lahirny,lahirnya
lahirr,lahir
lainnn,lain
lainnyaa,lainnya
lairannya,kelahirannya
lajaran,pelajaran
lajim,lazim
laka,kecelakaan
"laki""",laki laki
laki2,laki laki
lakik,laki
"laku""",laku laku
lakuin,melakukan
lalau,kalau
lam,salam
lama2,lama lama
lamaaaaa,lama
lambreta,lambat
lamp,lampiran
la'nat,laknat
lancarrrr,lancar
lancr,lancar
langganan,pelanggan
langgengggg,langgeng
langgenh,langgeng
lanjot,lanjut
lanjutin,lanjutkan
lanjutkaaaaan,lanjutkan
lansekap,lanskap
lansia,lanjut usia
lanud,landasan udara
lapaaaaar,lapar
lapaangan,lapangan
lapakk,lapak
lapas,lembaga pemasyarakatan
laporin,laporkan
lasti,pasti
latgab,latihan gabungan
latian,latihan
lau,kau
lawaaaas,lawas
lawak,lucu
lawakan,kelucuan
lawans,lawan
layak,pantas
lbh,lebih
lbih,lebih
lbihh,lebih
lbur,libur
lcu,lucu
le,boleh
leadership,kepemimpinan
lebar2,lebar lebar
lebay,berlebihan
lebayy,lebay
lebeh,berlebihan
lebh,lebih
ledekin,ledeki
ledeng,leding
ledkin,meledeki
legowo,sabar
leh,boleh
lehuga,boleh juga
lekong,laki
lelet,lambat
leluasa,bebas
lembab,lembap
lemot,lama
lengkapp,lengkap
lengkapx,lengkapnya
lengkeeett,lengket
lenje,lenjeh
lepasin,melepas
less,kurang
lewaaat,lewat
lg,lagi
lgan,lagian
lggeng,langgeng
lggi,lagi
lgi,lagi
lgkah2,langkah langkah
lgkh,langkah
lgkp,lengkap
lgs,langsung
lgsg,langsung
lgsung,langsung
lgu,lagu
lgunya,lagunya
lh,boleh
lha,lah
lhat,lihat
lhir,lahir
lhirr,lahir
lho,loh
lhoo,loh
lhooo,loh
lht,lihat
liaat,lihat
liaatt,lihat
liad,lihat
liat,lihat
liat2,lihat lihat
liath,lihat
liatiii,lihat
liatin,lihat
liatlah,lihatlah
liatnya,lihatnya
liatnyaaa,lihatnya
liatt,lihat
liattt,lihat
liat'y,lihatnya
light,terang
lihaat,lihat
lihaatttt,lihat
liht,lihat
like,suka
limo,limusin
limosin,limusin
linier,linear
linmas,perlindungan masyarakat
lipetan,lipatan
liptsk,lipstik
litbang,penelitian dan pengembangan
liyat,lihat
liyatnya,lihatnya
lkuin,lakukan
lkukan,lakukan
llki,lelaki
lluu,lu
lluuccuu,lucu
